X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,LAT,LON,CDPHE_HFEMS_Licensed,Operating_Status,Designation_Level,Date_Data_Updated,Source
729734.873011455,4541610.58599526,11,010170,SEDGWICK COUNTY MEMORIAL HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,15,(970) 474-3323,SEDGWICK,"900 CEDAR ST, JULESBURG, CO 80737",40.993336,-102.268784,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
627453.221917687,4204317.16352521,12,010210,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 363-1428,OTERO,"1100 CARSON AVENUE, LA JUNTA, CO 81050",37.977547,-103.548805,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
693247.092971564,4261461.03570038,13,010214,WEISBROD MEMORIAL COUNTY HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 438-5401,KIOWA,"1208 LUTHER ST, EADS, CO 81036",38.480553,-102.784531,Licensed,Active,Nondesignated Trauma Facility,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
709629.734897606,4216179.59178247,14,010217,PROWERS MEDICAL CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 336-4343,PROWERS,"401 KENDALL DR, LAMAR, CO 81052",38.069111,-102.610268,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
711320.548681258,4142390.3736078,15,010221,SOUTHEAST COLORADO HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,23,(719) 523-4501,BACA,"373 E 10TH AVE, SPRINGFIELD, CO 81073",37.404217,-102.612457,Licensed,Active,Nondesignated Trauma Facility,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
729555.280862993,4300749.72263224,16,010232,KEEFE MEMORIAL HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 767-5661,CHEYENNE,"602 N 6TH ST W, CHEYENNE WELLS, CO 80810",38.825634,-102.355675,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
456356.510257763,4469208.59331422,17,010302,UCHEALTH ESTES VALLEY MEDICAL CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,23,(970) 577-4470,LARIMER,"555 PROSPECT AVE, ESTES PARK, CO 80517",40.372314,-105.514091,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
495109.012992678,4491431.97027165,18,010305,POUDRE VALLEY HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,264,(970) 495-7000,LARIMER,"1024 S LEMAY AVE, FORT COLLINS, CO 80524",40.573654,-105.057785,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
519569.952445163,4423948.09888447,19,010311,INTERMOUNTAIN HEALTH PLATTE VALLEY HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,98,(303) 498-1600,ADAMS,"1600 PRAIRIE CENTER PKWY, BRIGHTON, CO 80601",39.965454,-104.770851,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
487355.468745906,4422300.9071385,20,010316,ADVENTHEALTH AVISTA,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,114,(303) 673-1000,BOULDER,"100 HEALTH PARK DR, LOUISVILLE, CO 80027",39.950745,-105.148026,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
479833.439882543,4429433.49699301,21,010323,FOOTHILLS HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,181,(303) 415-7440,BOULDER,"4747 ARAPAHOE AVE, BOULDER, CO 80303",40.014862,-105.236305,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
489235.55805131,4447896.27119588,22,010350,LONGMONT UNITED HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,186,(303) 651-5111,BOULDER,"1950 MOUNTAIN VIEW AVE, LONGMONT, CO 80501",40.181377,-105.126442,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
524685.844601854,4473737.35419699,23,010386,BANNER NORTH COLORADO MEDICAL CENTER,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,378,(970) 810-4121,WELD,"1801 16TH ST, GREELEY, CO 80631",40.413891,-104.709038,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
500544.177033824,4422852.71003214,24,010402,ST. ANTHONY NORTH HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,236,(720) 627-0000,ADAMS,"14300 ORCHARD PKWY, WESTMINSTER, CO 80023",39.955811,-104.993629,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
514471.845894554,4393284.21090608,25,010414,HCA HEALTHONE AURORA,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,401,(303) 873-5511,ARAPAHOE,"1501 S POTOMAC ST, AURORA, CO 80012",39.689274,-104.831223,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
513972.672668856,4399062.28769333,26,010417,CHILDREN'S HOSPITAL COLORADO,016,Hospital,Hospital,CHILDRENS,HOSP-CHD,504,(720) 777-1234,ADAMS,"13123 E 16TH AVE, AURORA, CO 80045",39.741344,-104.836922,Licensed,Active,Level I - RPTC,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
502267.973115966,4391204.40921696,27,010424,ADVENTHEALTH PORTER,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,368,(303) 778-1955,DENVER,"2525 S DOWNING ST, DENVER, CO 80210",39.670654,-104.973557,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
505627.153860618,4397916.14682781,28,010428,HCA HEALTHONE ROSE,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,422,(303) 320-2121,DENVER,"4567 E 9TH AVE, DENVER, CO 80220",39.731113,-104.934334,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
489064.612040868,4396455.31103336,29,010429,ST ANTHONY HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,248,(720) 321-0000,JEFFERSON,"11600 W 2ND PL, LAKEWOOD, CO 80228",39.717899,-105.127586,Licensed,Active,Level I,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
502465.565499526,4399546.18600163,30,010430,INTERMOUNTAIN HEALTH SAINT JOSEPH HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,400,(303) 812-2000,DENVER,"1375 E 19TH AVE, DENVER, CO 80218",39.745815,-104.971222,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
502850.577056856,4399582.72249809,31,010431,HCA HEALTHONE PRESBYTERIAN ST. LUKE'S,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,680,(303) 839-6000,DENVER,"1719 E 19TH AVE, DENVER, CO 80218",39.746143,-104.966728,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
513646.470859896,4399069.80299544,32,010432,UNIVERSITY OF COLORADO HOSPITAL AUTHORITY,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,844,(720) 848-0000,ADAMS,"12605 E 16TH AVE, AURORA, CO 80045",39.741417,-104.840729,Licensed,Active,Level I,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
501577.42006247,4389266.12773394,33,010436,HCA HEALTHONE SWEDISH,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,504,(303) 788-5000,ARAPAHOE,"501 E HAMPDEN AVE, ENGLEWOOD, CO 80113",39.653191,-104.981613,Licensed,Active,Level I,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
487540.388703458,4402449.74797167,34,010440,INTERMOUNTAIN HEALTH LUTHERAN HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,226,(303) 425-4500,JEFFERSON,"12911 W 40TH AVE, WHEAT RIDGE, CO 80401",39.771889,-105.145483,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
501302.427066926,4412695.24579699,35,010441,HCA HEALTHONE MOUNTAIN RIDGE,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,180,(303) 451-7800,ADAMS,"9191 GRANT ST, THORNTON, CO 80229",39.864292,-104.984772,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
500834.948338579,4397583.50667583,36,010444,DENVER HEALTH MEDICAL CENTER,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,555,(303) 436-4927,DENVER,"777 BANNOCK ST, DENVER, CO 80204",39.728134,-104.990257,Licensed,Active,Level I,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
500994.630734927,4380752.98134999,37,010456,ADVENTHEALTH LITTLETON,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,231,(303) 730-8900,ARAPAHOE,"7700 S BROADWAY, LITTLETON, CO 80122",39.576485,-104.988419,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
517357.309292768,4298914.72664544,38,010542,UNIVERSITY OF COLORADO HEALTH MEMORIAL HOSPITAL CENTRAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,583,(719) 365-5000,EL PASO,"1400 E BOULDER ST, COLORADO SPRINGS, CO 80909",38.838867,-104.800003,Licensed,Active,Level I,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
515599.473007916,4301881.93032679,39,010543,PENROSE HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,300,(719) 776-5000,EL PASO,"2222 N NEVADA AVE, COLORADO SPRINGS, CO 80907",38.865639,-104.82019,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
479927.223568242,4256402.02295923,40,010623,ST. THOMAS MORE HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 285-2000,FREMONT,"1338 PHAY AVE, CANON CITY, CO 81212",38.455692,-105.230057,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
533915.409400803,4237133.64242627,41,010626,"PARKVIEW MEDICAL CENTER, INC.",011,Hospital,Hospital,SHORT TERM,HOSP-ACU,350,(719) 584-4000,PUEBLO,"400 W 16TH ST, PUEBLO, CO 81003",38.281624,-104.612221,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
412189.937562212,4266535.716768,42,010628,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 530-2200,CHAFFEE,"1000 RUSH DR, SALIDA, CO 81201",38.542908,-106.007607,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
533005.819454257,4231763.99570637,43,010650,ST. MARY-CORWIN HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,408,(719) 557-4000,PUEBLO,"1008 MINNEQUA AVE, PUEBLO, CO 81004",38.233265,-104.622871,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
545407.209070509,4114188.34381871,44,010704,MT SAN RAFAEL HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(719) 846-9213,LAS ANIMAS,"410 BENEDICTA AVE, TRINIDAD, CO 81082",37.173016,-104.48851,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
515904.216685168,4162295.91574524,45,010720,SPANISH PEAKS REGIONAL HEALTH CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,20,(719) 738-5100,HUERFANO,"23500 US HIGHWAY 160, WALSENBURG, CO 81089",37.607616,-104.819809,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
381347.208353135,4435051.32986976,46,010804,MIDDLE PARK MEDICAL CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,16,(970) 724-3442,GRAND,"214 S 4TH ST, KREMMLING, CO 80459",40.057365,-106.391174,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
281544.301417505,4488486.97402227,47,010807,"MEMORIAL HOSPITAL, THE",014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(970) 824-9411,MOFFAT,"750 HOSPITAL LOOP, CRAIG, CO 81625",40.518353,-107.578705,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
300377.918194219,4378478.76291747,48,010810,VALLEY VIEW HOSPITAL ASSOCIATION,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,78,(970) 945-6535,GARFIELD,"1906 BLAKE AVE, GLENWOOD SPRINGS, CO 81601",39.53278,-107.322723,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
262432.87396367,4378288.55163631,49,010830,GRAND RIVER MEDICAL CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(970) 625-1510,GARFIELD,"501 AIRPORT RD, RIFLE, CO 81650",39.521412,-107.763725,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
254094.541754979,4436823.08880328,50,010850,PIONEERS MEDICAL CENTER,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,16,(970) 878-5047,RIO BLANCO,"100 PIONEERS MEDICAL CENTER DR, MEEKER, CO 81641",40.045807,-107.88253,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
346163.341294572,4480668.42031157,51,010860,UCHEALTH YAMPA VALLEY MEDICAL CENTER,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,39,(970) 879-1322,ROUTT,"1024 CENTRAL PARK DR, STEAMBOAT SPRINGS, CO 80487",40.462456,-106.814468,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
341280.749240622,4339471.80532633,52,010907,ASPEN VALLEY HOSPITAL DISTRICT,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(970) 544-1261,PITKIN,"401 CASTLE CREEK RD, ASPEN, CO 81611",39.190014,-106.837822,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
387659.379079862,4344746.58535677,53,010908,ST. VINCENT GENERAL HOSPITAL DISTRICT,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,8,(719) 486-0230,LAKE,"816 W 4TH ST, LEADVILLE, CO 80461",39.244766,-106.301834,Licensed,Active,Nondesignated Trauma Facility,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
332308.640403275,4268724.21752134,54,010909,GUNNISON VALLEY HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,24,(970) 641-1456,GUNNISON,"711 N TAYLOR ST, GUNNISON, CO 81230",38.551147,-106.924393,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
381443.714882032,4389033.29793398,55,010911,VAIL HEALTH HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,84,(970) 476-2451,EAGLE,"181 W MEADOW DR, VAIL, CO 81657",39.642876,-106.381706,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
432502.441292607,4419956.27448849,56,010GLH,MIDDLE PARK HEALTH - FRASER CAMPUS,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,2,(970) 724-3442,GRAND,"31 TELEMARK DRIVE, FRASER, CO 80442",39.927024,-105.789898,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
421864.407281816,4147648.5770551,57,011001,SAN LUIS VALLEY HEALTH,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,49,(719) 587-1202,ALAMOSA,"106 BLANCA AVE, ALAMOSA, CO 81101",37.472424,-105.883652,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
414506.404944264,4124559.48273115,58,011020,SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,17,(719) 274-5121,CONEJOS,"19021 US HIGHWAY 285, LA JARA, CO 81140",37.26368,-105.964188,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
187206.139591408,4334798.66275778,59,011119,COMMUNITY HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,60,(970) 644-3011,MESA,"2351 'G' RD, GRAND JUNCTION, CO 81505",39.106239,-108.617203,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
175475.917724294,4443606.86120554,60,011132,RANGELY DISTRICT HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,25,(970) 675-5011,RIO BLANCO,"225 EAGLE CREST DR, RANGELY, CO 81648",40.080227,-108.805817,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
235140.372697493,4292692.60091561,61,011145,DELTA COUNTY MEMORIAL HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,49,(970) 874-7681,DELTA,"1501 E 3RD ST, DELTA, CO 81416",38.743221,-108.047417,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
191954.546119992,4332866.6633682,62,011160,INTERMOUNTAIN HEALTH ST. MARY'S REGIONAL HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,346,(970) 298-2260,MESA,"2635 N 7TH ST, GRAND JUNCTION, CO 81501",39.090553,-108.561516,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
249665.795354519,4262987.61521454,63,011165,MONTROSE REGIONAL HEALTH,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,75,(970) 249-2211,MONTROSE,"800 S 3RD ST, MONTROSE, CO 81401",38.480095,-107.869812,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
183564.877009702,4141031.0427638,64,011206,SOUTHWEST MEMORIAL HOSPITAL,014,Hospital,Hospital,CRITICAL ACCESS HOSPITALS,HOSP-CAH,20,(970) 565-6666,MONTEZUMA,"1311 N MILDRED RD, CORTEZ, CO 81321",37.362072,-108.572807,Licensed,Active,Level IV,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
249407.807188333,4124697.10297363,65,011213,MERCY HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,90,(970) 247-4311,LA PLATA,"1010 THREE SPRINGS BLVD, DURANGO, CO 81301",37.235138,-107.824814,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
500663.582615542,4427799.53483652,66,018MU3,CHILDREN'S HOSPITAL COLORADO - NORTH CAMPUS,016,Hospital,Hospital,CHILDRENS,HOSP-CHD,22,(720) 777-1234,BROOMFIELD,"469 STATE HIGHWAY 7, BROOMFIELD, CO 80023",40.000381,-104.992226,Licensed,Active,Nondesignated Trauma Facility,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
520952.415359779,4313033.49506118,67,01A456,UNIVERSITY OF COLORADO HEALTH AT MEMORIAL HOSPITAL NORTH,01B,Hospital,Hospital,LICENSED GENERAL,LICGEN,146,(719) 365-5000,EL PASO,"4050 BRIARGATE PKWY, COLORADO SPRINGS, CO 80920",38.966019,-104.758148,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
520970.870615595,4313032.65630093,68,01B436,CHILDREN'S HOSPITAL COLORADO - COLORADO SPRINGS,016,Hospital,Hospital,CHILDRENS,HOSP-CHD,115,(719) 305-9590,EL PASO,"4090 BRIARGATE PKWY, COLORADO SPRINGS, CO 80920",38.966011,-104.757935,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
499876.98118235,4473832.58082802,69,01D460,MEDICAL CENTER OF THE ROCKIES,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,278,(970) 624-2500,LARIMER,"2500 ROCKY MOUNTAIN AVE, LOVELAND, CO 80538",40.415115,-105.00145,Licensed,Active,Level I,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
510907.605595511,4375410.18162081,70,01D972,HCA HEALTHONE SKY RIDGE,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,304,(720) 225-1000,DOUGLAS,"10101 RIDGEGATE PKWY, LONE TREE, CO 80124",39.528275,-104.873085,Licensed,Active,Level II,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
499269.848550425,4378452.40807101,71,01F105,CHILDREN'S HOSPITAL COLORADO - SOUTH CAMPUS,016,Hospital,Hospital,CHILDRENS,HOSP-CHD,16,(720) 478-1234,DOUGLAS,"1811 PLAZA DR, HIGHLANDS RANCH, CO 80129",39.555756,-105.008499,Licensed,Active,Nondesignated Trauma Facility,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
517905.753584351,4471162.24135489,72,01F112,UCHEALTH GREELEY HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,88,(970) 652-2000,WELD,"6767 29TH ST, GREELEY, CO 80634",40.390865,-104.789024,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
499608.059751163,4378106.00973577,73,01G933,UCHEALTH HIGHLANDS RANCH HOSPITAL,011,Hospital,Hospital,SHORT TERM,HOSP-ACU,133,(720) 516-1000,DOUGLAS,"1500 PARK CENTRAL DR, HIGHLANDS RANCH, CO 80129",39.552635,-105.004562,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
524628.3642367,4310179.48927765,74,01H523,ST FRANCIS HOSPITAL,01B,Hospital,Hospital,LICENSED GENERAL,LICGEN,317,(719) 571-1000,EL PASO,"6001 E WOODMEN RD, COLORADO SPRINGS, CO 80923",38.940205,-104.71582,Licensed,Active,Level III,2026/06/15 07:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
